pool,tf,model,asset_class,feature,mean_abs_shap
fx_train,5m,LightGBM,fx,hour_sin,0.037395984585944925
fx_train,5m,LightGBM,fx,dist_to_swing_low_atr,0.013510066247659717
fx_train,5m,LightGBM,fx,htf_1h_rsi_14,0.002611094443343691
fx_train,5m,LightGBM,fx,realized_vol_20,0.0013351299556904153
fx_train,5m,LightGBM,fx,atr_percentile_100,0.004525764392646119
fx_train,5m,LightGBM,fx,atr_pct,0.000560559300398976
fx_train,5m,LightGBM,fx,dist_to_swing_high_atr,0.0008347352051892861
fx_train,5m,LightGBM,fx,volume_z_score,0.0026388814607169325
fx_train,5m,LightGBM,fx,ema_20_slope_atr,0.00042234671777510095
fx_train,5m,LightGBM,fx,hour_cos,0.012899408463053558
fx_train,5m,LightGBM,fx,momentum_composite,0.0018910667542234273
fx_train,5m,LightGBM,fx,rvol_20,0.006105214560051267
fx_train,5m,LightGBM,fx,adx_14,0.0005973981650077109
fx_train,5m,LightGBM,fx,ema_20_dist_atr,0.017003198464080025
fx_train,5m,LightGBM,fx,htf_1h_atr_percentile_100,0.0
fx_train,5m,LightGBM,fx,htf_ltf_agree_bull,0.0
fx_train,5m,LightGBM,fx,htf_ltf_agree_bear,0.0
fx_train,5m,LightGBM,fx,htf_ltf_counter_trend,0.0
fx_train,5m,LightGBM,fx,htf_ltf_alignment_score,0.0
fx_train,5m,LightGBM,fx,ltf_rsi_minus_htf_rsi,0.003603380993965301
fx_train,5m,LightGBM,fx,both_rsi_oversold,0.0
fx_train,5m,LightGBM,fx,both_rsi_overbought,0.0
fx_train,5m,LightGBM,fx,vol_pct_diff_htf,0.00036910970285525767
fx_train,5m,LightGBM,fx,both_high_vol,0.0012293102459285756
fx_train,5m,LightGBM,fx,both_low_vol,0.0
fx_train,5m,LightGBM,fx,pullback_in_bull,0.0006232764986931739
fx_train,5m,LightGBM,fx,pullback_in_bear,0.0008137117806503376
fx_train,5m,LightGBM,crypto,hour_sin,0.03870435729349718
fx_train,5m,LightGBM,crypto,dist_to_swing_low_atr,0.011983407939968481
fx_train,5m,LightGBM,crypto,htf_1h_rsi_14,0.002740324247834573
fx_train,5m,LightGBM,crypto,realized_vol_20,0.0018180218245351788
fx_train,5m,LightGBM,crypto,atr_percentile_100,0.005148833870216216
fx_train,5m,LightGBM,crypto,atr_pct,0.0005324558349461212
fx_train,5m,LightGBM,crypto,dist_to_swing_high_atr,0.0009040938803894897
fx_train,5m,LightGBM,crypto,volume_z_score,0.001987071615340281
fx_train,5m,LightGBM,crypto,ema_20_slope_atr,0.00043780939631170914
fx_train,5m,LightGBM,crypto,hour_cos,0.013399665618626974
fx_train,5m,LightGBM,crypto,momentum_composite,0.0018936962486084024
fx_train,5m,LightGBM,crypto,rvol_20,0.009529494635355962
fx_train,5m,LightGBM,crypto,adx_14,0.0006325408316288501
fx_train,5m,LightGBM,crypto,ema_20_dist_atr,0.01897048038151625
fx_train,5m,LightGBM,crypto,htf_1h_atr_percentile_100,0.0
fx_train,5m,LightGBM,crypto,htf_ltf_agree_bull,0.0
fx_train,5m,LightGBM,crypto,htf_ltf_agree_bear,0.0
fx_train,5m,LightGBM,crypto,htf_ltf_counter_trend,0.0
fx_train,5m,LightGBM,crypto,htf_ltf_alignment_score,0.0
fx_train,5m,LightGBM,crypto,ltf_rsi_minus_htf_rsi,0.003464780860650633
fx_train,5m,LightGBM,crypto,both_rsi_oversold,0.0
fx_train,5m,LightGBM,crypto,both_rsi_overbought,0.0
fx_train,5m,LightGBM,crypto,vol_pct_diff_htf,0.0003466331181453171
fx_train,5m,LightGBM,crypto,both_high_vol,0.0011232838296134605
fx_train,5m,LightGBM,crypto,both_low_vol,0.0
fx_train,5m,LightGBM,crypto,pullback_in_bull,0.0006582847250185023
fx_train,5m,LightGBM,crypto,pullback_in_bear,0.0009443951943803813
fx_train,15m,LightGBM,fx,hour_sin,0.08465941731970092
fx_train,15m,LightGBM,fx,dist_to_swing_low_atr,0.006782614187995919
fx_train,15m,LightGBM,fx,htf_1h_rsi_14,0.002634211181382884
fx_train,15m,LightGBM,fx,realized_vol_20,0.0025176565120396564
fx_train,15m,LightGBM,fx,atr_percentile_100,0.0067448877504188475
fx_train,15m,LightGBM,fx,atr_pct,0.0002026037350964803
fx_train,15m,LightGBM,fx,dist_to_swing_high_atr,0.0074958012227305144
fx_train,15m,LightGBM,fx,volume_z_score,0.004237607359587936
fx_train,15m,LightGBM,fx,ema_20_slope_atr,0.0
fx_train,15m,LightGBM,fx,hour_cos,0.01156952064823067
fx_train,15m,LightGBM,fx,momentum_composite,0.0020717382466330786
fx_train,15m,LightGBM,fx,rvol_20,0.005000161610497551
fx_train,15m,LightGBM,fx,adx_14,0.003717464703265727
fx_train,15m,LightGBM,fx,ema_20_dist_atr,0.01718328086452968
fx_train,15m,LightGBM,fx,htf_1h_atr_percentile_100,0.0
fx_train,15m,LightGBM,fx,htf_ltf_agree_bull,0.0060697714382143145
fx_train,15m,LightGBM,fx,htf_ltf_agree_bear,0.00017400831372115476
fx_train,15m,LightGBM,fx,htf_ltf_counter_trend,0.0003976970849552413
fx_train,15m,LightGBM,fx,htf_ltf_alignment_score,0.0
fx_train,15m,LightGBM,fx,ltf_rsi_minus_htf_rsi,0.007676611231055621
fx_train,15m,LightGBM,fx,both_rsi_oversold,0.0
fx_train,15m,LightGBM,fx,both_rsi_overbought,0.0
fx_train,15m,LightGBM,fx,vol_pct_diff_htf,0.0012534191970856173
fx_train,15m,LightGBM,fx,both_high_vol,0.004244125624778806
fx_train,15m,LightGBM,fx,both_low_vol,0.0
fx_train,15m,LightGBM,fx,pullback_in_bull,0.0
fx_train,15m,LightGBM,fx,pullback_in_bear,0.0
fx_train,15m,LightGBM,crypto,hour_sin,0.08365970228483481
fx_train,15m,LightGBM,crypto,dist_to_swing_low_atr,0.004719164576415772
fx_train,15m,LightGBM,crypto,htf_1h_rsi_14,0.0025804095615741774
fx_train,15m,LightGBM,crypto,realized_vol_20,0.002393253056645114
fx_train,15m,LightGBM,crypto,atr_percentile_100,0.006794474064058736
fx_train,15m,LightGBM,crypto,atr_pct,0.00014534276198152892
fx_train,15m,LightGBM,crypto,dist_to_swing_high_atr,0.0073108972640322425
fx_train,15m,LightGBM,crypto,volume_z_score,0.0036776242430371434
fx_train,15m,LightGBM,crypto,ema_20_slope_atr,0.0
fx_train,15m,LightGBM,crypto,hour_cos,0.011539209737319272
fx_train,15m,LightGBM,crypto,momentum_composite,0.0021601004270139267
fx_train,15m,LightGBM,crypto,rvol_20,0.005521648333711847
fx_train,15m,LightGBM,crypto,adx_14,0.003628089995196922
fx_train,15m,LightGBM,crypto,ema_20_dist_atr,0.01630730270257001
fx_train,15m,LightGBM,crypto,htf_1h_atr_percentile_100,0.0
fx_train,15m,LightGBM,crypto,htf_ltf_agree_bull,0.005900611493198894
fx_train,15m,LightGBM,crypto,htf_ltf_agree_bear,0.000159540052378882
fx_train,15m,LightGBM,crypto,htf_ltf_counter_trend,0.00043139879791147766
fx_train,15m,LightGBM,crypto,htf_ltf_alignment_score,0.0
fx_train,15m,LightGBM,crypto,ltf_rsi_minus_htf_rsi,0.00758997270878603
fx_train,15m,LightGBM,crypto,both_rsi_oversold,0.0
fx_train,15m,LightGBM,crypto,both_rsi_overbought,0.0
fx_train,15m,LightGBM,crypto,vol_pct_diff_htf,0.0012348833074160123
fx_train,15m,LightGBM,crypto,both_high_vol,0.0037347421677671904
fx_train,15m,LightGBM,crypto,both_low_vol,0.0
fx_train,15m,LightGBM,crypto,pullback_in_bull,0.0
fx_train,15m,LightGBM,crypto,pullback_in_bear,0.0
fx_train,30m,LightGBM,fx,hour_sin,0.03632387437802936
fx_train,30m,LightGBM,fx,dist_to_swing_low_atr,0.005179952226581037
fx_train,30m,LightGBM,fx,htf_1h_rsi_14,0.001096386863301635
fx_train,30m,LightGBM,fx,realized_vol_20,0.004490520337963271
fx_train,30m,LightGBM,fx,atr_percentile_100,0.005931064601955903
fx_train,30m,LightGBM,fx,atr_pct,0.0024974239001285614
fx_train,30m,LightGBM,fx,dist_to_swing_high_atr,0.012479759466063953
fx_train,30m,LightGBM,fx,volume_z_score,0.0016585708040168544
fx_train,30m,LightGBM,fx,ema_20_slope_atr,0.00213062751575376
fx_train,30m,LightGBM,fx,hour_cos,0.01165683711605402
fx_train,30m,LightGBM,fx,momentum_composite,0.000692990319639221
fx_train,30m,LightGBM,fx,rvol_20,0.005841074723962859
fx_train,30m,LightGBM,fx,adx_14,0.0071942168693318095
fx_train,30m,LightGBM,fx,ema_20_dist_atr,0.0020898465905831607
fx_train,30m,LightGBM,fx,htf_1h_atr_percentile_100,0.0015367772834465952
fx_train,30m,LightGBM,fx,htf_ltf_agree_bull,0.009210051465956133
fx_train,30m,LightGBM,fx,htf_ltf_agree_bear,0.0
fx_train,30m,LightGBM,fx,htf_ltf_counter_trend,0.0
fx_train,30m,LightGBM,fx,htf_ltf_alignment_score,0.0008461673600705788
fx_train,30m,LightGBM,fx,ltf_rsi_minus_htf_rsi,0.003267318178749297
fx_train,30m,LightGBM,fx,both_rsi_oversold,0.0
fx_train,30m,LightGBM,fx,both_rsi_overbought,0.0
fx_train,30m,LightGBM,fx,vol_pct_diff_htf,0.0044498165178705595
fx_train,30m,LightGBM,fx,both_high_vol,0.0
fx_train,30m,LightGBM,fx,both_low_vol,0.0
fx_train,30m,LightGBM,fx,pullback_in_bull,0.0
fx_train,30m,LightGBM,fx,pullback_in_bear,0.0
fx_train,30m,LightGBM,crypto,hour_sin,0.03388075429508575
fx_train,30m,LightGBM,crypto,dist_to_swing_low_atr,0.0036230120123669166
fx_train,30m,LightGBM,crypto,htf_1h_rsi_14,0.001067897636212012
fx_train,30m,LightGBM,crypto,realized_vol_20,0.008693687965745572
fx_train,30m,LightGBM,crypto,atr_percentile_100,0.006093010956302351
fx_train,30m,LightGBM,crypto,atr_pct,0.003161678539087621
fx_train,30m,LightGBM,crypto,dist_to_swing_high_atr,0.010816506491776736
fx_train,30m,LightGBM,crypto,volume_z_score,0.0017205170550972876
fx_train,30m,LightGBM,crypto,ema_20_slope_atr,0.002181778479001991
fx_train,30m,LightGBM,crypto,hour_cos,0.011259449686810337
fx_train,30m,LightGBM,crypto,momentum_composite,0.0006114741751970352
fx_train,30m,LightGBM,crypto,rvol_20,0.004277123919803569
fx_train,30m,LightGBM,crypto,adx_14,0.01038119989343524
fx_train,30m,LightGBM,crypto,ema_20_dist_atr,0.002384349531155427
fx_train,30m,LightGBM,crypto,htf_1h_atr_percentile_100,0.0015400759568612876
fx_train,30m,LightGBM,crypto,htf_ltf_agree_bull,0.008638856354542344
fx_train,30m,LightGBM,crypto,htf_ltf_agree_bear,0.0
fx_train,30m,LightGBM,crypto,htf_ltf_counter_trend,0.0
fx_train,30m,LightGBM,crypto,htf_ltf_alignment_score,0.0007958187919951329
fx_train,30m,LightGBM,crypto,ltf_rsi_minus_htf_rsi,0.0028125599258510712
fx_train,30m,LightGBM,crypto,both_rsi_oversold,0.0
fx_train,30m,LightGBM,crypto,both_rsi_overbought,0.0
fx_train,30m,LightGBM,crypto,vol_pct_diff_htf,0.006142923850743072
fx_train,30m,LightGBM,crypto,both_high_vol,0.0
fx_train,30m,LightGBM,crypto,both_low_vol,0.0
fx_train,30m,LightGBM,crypto,pullback_in_bull,0.0
fx_train,30m,LightGBM,crypto,pullback_in_bear,0.0
fx_train,1h,LightGBM,fx,hour_sin,0.0
fx_train,1h,LightGBM,fx,dist_to_swing_low_atr,0.010649061933345428
fx_train,1h,LightGBM,fx,htf_1h_rsi_14,0.008308672944946735
fx_train,1h,LightGBM,fx,realized_vol_20,0.005526045972182796
fx_train,1h,LightGBM,fx,atr_percentile_100,0.0051958984468398126
fx_train,1h,LightGBM,fx,atr_pct,0.02093070368998689
fx_train,1h,LightGBM,fx,dist_to_swing_high_atr,0.006739546912574396
fx_train,1h,LightGBM,fx,volume_z_score,0.001012948441680874
fx_train,1h,LightGBM,fx,ema_20_slope_atr,0.0022888849947445573
fx_train,1h,LightGBM,fx,hour_cos,0.003817737945391163
fx_train,1h,LightGBM,fx,momentum_composite,0.004523408112814395
fx_train,1h,LightGBM,fx,rvol_20,0.00029704981814382566
fx_train,1h,LightGBM,fx,adx_14,0.04945715790404111
fx_train,1h,LightGBM,fx,ema_20_dist_atr,0.0023074705968042517
fx_train,1h,LightGBM,fx,htf_1h_atr_percentile_100,0.0007208049141900665
fx_train,1h,LightGBM,fx,htf_ltf_agree_bull,0.004038827938359797
fx_train,1h,LightGBM,fx,htf_ltf_agree_bear,0.0
fx_train,1h,LightGBM,fx,htf_ltf_counter_trend,0.0
fx_train,1h,LightGBM,fx,htf_ltf_alignment_score,0.01438184522694864
fx_train,1h,LightGBM,fx,ltf_rsi_minus_htf_rsi,0.00375904910228696
fx_train,1h,LightGBM,fx,both_rsi_oversold,0.0
fx_train,1h,LightGBM,fx,both_rsi_overbought,0.0
fx_train,1h,LightGBM,fx,vol_pct_diff_htf,0.0005984174730688724
fx_train,1h,LightGBM,fx,both_high_vol,0.0
fx_train,1h,LightGBM,fx,both_low_vol,0.0
fx_train,1h,LightGBM,fx,pullback_in_bull,0.0
fx_train,1h,LightGBM,fx,pullback_in_bear,0.0003915837573115687
fx_train,1h,LightGBM,crypto,hour_sin,0.0
fx_train,1h,LightGBM,crypto,dist_to_swing_low_atr,0.009757905600120726
fx_train,1h,LightGBM,crypto,htf_1h_rsi_14,0.005862663956328646
fx_train,1h,LightGBM,crypto,realized_vol_20,0.0139595639953572
fx_train,1h,LightGBM,crypto,atr_percentile_100,0.004343129894974293
fx_train,1h,LightGBM,crypto,atr_pct,0.04101423238641394
fx_train,1h,LightGBM,crypto,dist_to_swing_high_atr,0.005667259959197883
fx_train,1h,LightGBM,crypto,volume_z_score,0.0011076459137006848
fx_train,1h,LightGBM,crypto,ema_20_slope_atr,0.002209172794515495
fx_train,1h,LightGBM,crypto,hour_cos,0.003053486040539547
fx_train,1h,LightGBM,crypto,momentum_composite,0.005290726349101003
fx_train,1h,LightGBM,crypto,rvol_20,0.00017660904705664777
fx_train,1h,LightGBM,crypto,adx_14,0.05882877559062231
fx_train,1h,LightGBM,crypto,ema_20_dist_atr,0.0040959874137825114
fx_train,1h,LightGBM,crypto,htf_1h_atr_percentile_100,0.0005470251639273046
fx_train,1h,LightGBM,crypto,htf_ltf_agree_bull,0.0028180040953085486
fx_train,1h,LightGBM,crypto,htf_ltf_agree_bear,0.0
fx_train,1h,LightGBM,crypto,htf_ltf_counter_trend,0.0
fx_train,1h,LightGBM,crypto,htf_ltf_alignment_score,0.0175411962967966
fx_train,1h,LightGBM,crypto,ltf_rsi_minus_htf_rsi,0.0030099483247710067
fx_train,1h,LightGBM,crypto,both_rsi_oversold,0.0
fx_train,1h,LightGBM,crypto,both_rsi_overbought,0.0
fx_train,1h,LightGBM,crypto,vol_pct_diff_htf,0.00048490213240152713
fx_train,1h,LightGBM,crypto,both_high_vol,0.0
fx_train,1h,LightGBM,crypto,both_low_vol,0.0
fx_train,1h,LightGBM,crypto,pullback_in_bull,0.0
fx_train,1h,LightGBM,crypto,pullback_in_bear,0.0003610758154330084
